NUTS_ID,Region_LTN,Spss code,PRG,RES,INT,KNW,GDP
ITI3,Marche,5320,-0.175986113,0.036492369,-0.111759594,-0.027003096,37355.05
ITI4,Lazio,5340,-0.111679912,-0.000113547,0.000535537,0.120949516,171115.55
LI00,Missing,Missing,,,,,
LT01,Sostines regionas,Take lithuania,0.132783618,0.111122629,-0.15242037,-0.193520823,
LT02,Vidurio ir vakaru Lietuvos regionas ,Take lithuania,0.132783618,0.111122629,-0.15242037,-0.193520823,
LU00,Luxembourg,6,-0.031054636,-0.00049388,0.135840984,0.101339827,30031.04
LV00,Latvija,20,0.124069361,0.042373918,-0.020443123,-0.113501901,13712.71
ME00,Crna Gora,Average of Slovenian regions,-0.139747679,-0.093662639,0.137095744,0.261254551,
MK00,Poraneöna Jugoslovenska Republika Makedonija,Take rest of makedonia,-0.1252216,-0.406035143,-0.534335246,-0.692670805,
MT00,Malta,22,0.063889599,-0.248694899,0.090501545,-0.220627233,5130.86
NL11,Groningen,3110,0.123804432,0.206607294,0.159933338,0.170855248,
NL12,Friesland (NL),3120,0.062934074,0.144746139,0.083292461,0.152257809,
NL13,Drenthe,3130,0.055666817,0.193544393,0.155998224,0.22094318,
NL21,Overijssel,3210,0.110518571,0.210503737,0.165605847,0.183312198,
NL22,Gelderland,3220,0.138342421,0.177823051,0.230454372,0.336275792,
NL23,Flevoland,3230,-0.03492113,0.156153574,0.325954073,0.32106489,
NL31,Utrecht,3330,0.120749891,0.412858301,0.239696153,0.347233465,
NL32,Noord-Holland,3310,0.099410097,0.347134228,0.275033378,0.377755449,
NL33,Zuid-Holland,3320,0.075204958,0.197105275,0.221724467,0.273026675,
NL34,Zeeland,3420,0.181610868,0.141351239,0.126793072,0.251821923,
NL41,Noord-Brabant,3410,0.078025213,0.175082365,0.204031126,0.283537815,
NL42,Limburg (NL),3430,0.052163311,0.164388657,0.190384775,0.184763893,
NO01,Oslo og Akershus,34110,0.249098681,0.297390544,0.23935054,0.709093433,
NO02,Hedmark og Oppland,34120,0.25873889,0.037888596,-0.119983268,0.522163152,
NO03,Sør-Østlandet,34200,0.181951767,-0.032615643,-0.00370401,0.49373762,
NO04,Agder og Rogaland,Take trondelag,0.279356284,0.125071828,0.053931979,0.669456919,
NO05,Vestlandet,34300,0.20872717,-0.003464776,0.028756938,0.471465544,
NO06,Trøndelag,34400,0.279356284,0.125071828,0.053931979,0.669456919,
NO07,Nord-Norge,34500,0.191406366,-0.032498136,-0.08444174,0.240055139,
PL21,Ma?opolskie,25210,0.031591876,-0.156081297,-0.021593663,-0.146862782,
PL22,?l?skie,25220,0.146049312,-0.144950838,0.054187552,0.000706263,
PL41,Wielkopolskie,25410,0.167250932,-0.182127225,-0.034702671,0.024798943,
PL42,Zachodniopomorskie,25420,0.10616165,-0.309147052,-0.229272927,-0.339803349,
PL43,Lubuskie,25430,0.01905669,-0.149425187,0.082376472,-0.094101404,
PL51,Dolno?l?skie,25510,0.142750754,-0.254560495,0.027490301,-0.029643597,
PL52,Opolskie,25520,0.099087427,-0.182128565,0.147121731,-0.049210656,
PL61,Kujawsko-pomorskie,25610,0.093206175,-0.056850581,0.066630816,-0.073671187,
PL62,Warmi?sko-mazurskie,25620,0.138678691,-0.119810284,-0.015353044,-0.013949624,
PL63,Pomorskie,25630,0.064082342,-0.159317359,0.035050743,0.082586138,
PL71,?ódzkie,25110,0.02730432,-0.273564981,-0.060583131,-0.10882932,
PL72,Swietokrzyskie,25330,0.097899262,-0.42950523,-0.064998812,-0.105436371,
PL81,Lubelskie,25310,0.022839362,-0.014771856,-0.065993652,-0.060557064,
PL82,Podkarpackie,25320,0.078345986,-0.171699845,-0.066533407,-0.137734251,
PL84,Podlaskie,25340,0.191802845,-0.328872909,0.009870316,-0.096742263,
PL91,Warszawski stoleczny,Take PL12,0.069311438,-0.096313251,-0.010221814,-0.015840633,
PL92,Mazowiecki regionalny,25120,0.069311438,-0.096313251,-0.010221814,-0.015840633,
PT11,Norte,13100,-0.202624938,-0.062793442,-0.320170781,-0.552312558,44218.47
